id,state,lat,lon
USC00035036,AR,36.3458,-92.3939
USC00035046,AR,35.8444,-92.0978
USC00035079,AR,34.0783,-93.7019
USC00035112,AR,33.9294,-93.8583
USC00035160,AR,35.5756,-94.3811
USC00035177,AR,34.1469,-93.8936
USC00035186,AR,35.6042,-91.2744
USC00035200,AR,34.9553,-93.1594
USC00035354,AR,35.7803,-94.4161
USC00035358,AR,34.6008,-93.7667
USC00035498,AR,34.6133,-92.7742
USC00035508,AR,35.4833,-93.8167
USC00035512,AR,35.5125,-93.8683
USC00035563,AR,36.0336,-90.4978
USC00035591,AR,34.7844,-93.9786
USC00035691,AR,35.0442,-92.7956
USC00035754,AR,34.2256,-92.0189
USC00035760,AR,34.5833,-93.9011
USC00035820,AR,36.2639,-90.9681
USC00035831,AR,35.5325,-90.6872
USC00035866,AR,33.2511,-91.5058
USC00035900,AR,35.9828,-94.3061
USC00035908,AR,33.8203,-93.3878
USC00036008,AR,35.305,-93.8767
USC00036174,AR,33.9539,-92.2019
USC00036253,AR,33.8103,-91.2778
USC00036376,AR,34.3703,-91.1242
USC00036380,AR,36.4547,-90.1458
USC00036393,AR,35.8236,-93.7672
USC00036403,AR,36.3561,-91.8036
USC00036506,AR,35.2683,-91.7164
USC00036562,AR,34.3019,-92.3914
USC00036768,AR,33.9153,-92.8267
USC00036918,AR,34.4764,-91.5381
USC00036920,AR,34.4744,-91.4172
USC00036928,AR,35.3028,-93.6369
USC00037038,AR,33.0986,-93.4647
USC00037383,AR,34.3828,-94.3608
USC00037488,AR,34.8992,-94.1942
USC00037582,AR,33.6044,-92.0997
USC00037653,AR,36.0744,-93.9136
USC00037712,AR,35.1242,-90.1805
USC00038010,AR,35.2094,-92.4453
USC00038052,AR,35.2547,-90.7964
USC00040010,CA,38.2178,-121.2014
USC00040014,CA,34.4939,-118.2714
USC00040029,CA,41.1936,-120.9447
USC00040136,CA,32.8358,-116.7775
USC00040144,CA,34.1822,-118.1383
USC00040161,CA,41.4931,-120.5528
USC00040192,CA,33.8647,-117.8425
USC00040212,CA,38.5731,-122.4406
USC00040232,CA,37.9856,-121.7458
USC00040235,CA,33.5558,-116.6739
USC00040343,CA,36.4914,-118.8253
USC00040379,CA,37.0919,-119.5128
USC00040383,CA,38.9072,-121.0839
USC00040436,CA,35.2761,-116.0628
USC00040444,CA,35.4186,-119.0508
USC00040449,CA,36.9092,-119.0883
USC00040521,CA,34.8928,-117.0219
USC00040673,CA,37.0856,-122.0797
USC00040684,CA,37.8428,-118.4783
USC00040693,CA,37.8744,-122.2606
USC00040738,CA,40.7406,-123.2078
USC00040741,CA,34.2442,-116.9039
USC00040755,CA,37.2064,-119.2419
USC00040779,CA,34.3833,-117.6833
USC00040790,CA,36.2472,-121.7803
USC00040798,CA,34.2947,-118.1883
USC00040819,CA,37.2481,-118.5814
USC00040850,CA,37.3167,-122.1667
USC00040924,CA,33.6131,-114.5972
USC00040931,CA,39.3886,-120.0936
USC00040943,CA,38.2119,-119.0142
USC00040983,CA,33.2314,-116.4144
USC00041010,CA,32.6667,-116.3
USC00041018,CA,39.4539,-120.6556
USC00041048,CA,32.9544,-115.5581
USC00041072,CA,38.2575,-119.2286
USC00041080,CA,40.5194,-123.8217
USC00041130,CA,39.695,-121.3453
USC00041149,CA,40.8669,-121.8464
USC00041159,CA,39.9372,-121.3147
USC00041214,CA,40.8803,-121.6547
